mfld loss = 0.40863242745399475, ntk loss = 0.8126528859138489
mfld loss = 0.5329908132553101, ntk loss = 0.9791122078895569
mfld loss = 0.4229786694049835, ntk loss = 0.8191908001899719
mfld loss = 0.48576149344444275, ntk loss = 0.934278666973114
mfld loss = 0.47476837038993835, ntk loss = 0.7343527674674988
mfld loss = 0.6093320846557617, ntk loss = 0.8229297995567322
mfld loss = 0.5920318961143494, ntk loss = 0.8367554545402527
mfld loss = 0.4433417320251465, ntk loss = 0.8633295297622681
mfld loss = 0.6017066836357117, ntk loss = 0.7659000754356384
mfld loss = 0.6505759954452515, ntk loss = 0.8411819338798523
mfld loss = 0.4771495759487152, ntk loss = 0.7600430250167847
mfld loss = 0.4903251528739929, ntk loss = 0.6959569454193115
mfld loss = 0.7392029166221619, ntk loss = 0.8671731352806091
mfld loss = 0.46653464436531067, ntk loss = 0.6554095149040222
mfld loss = 0.5424816608428955, ntk loss = 0.7895022630691528
mfld loss = 0.6944932341575623, ntk loss = 0.7568362355232239
mfld loss = 0.4853488802909851, ntk loss = 0.6698501706123352
mfld loss = 0.46126097440719604, ntk loss = 0.6091197729110718
mfld loss = 0.4800482392311096, ntk loss = 0.7242016196250916
mfld loss = 0.5637599229812622, ntk loss = 0.7004371285438538
mfld loss = 0.5532402396202087, ntk loss = 0.6817672848701477
mfld loss = 0.5483918786048889, ntk loss = 0.7183254361152649
mfld loss = 0.5763038992881775, ntk loss = 0.6769647598266602
mfld loss = 0.5268460512161255, ntk loss = 0.6529563069343567
mfld loss = 0.5044379830360413, ntk loss = 0.5867807865142822
mfld loss = 0.48900943994522095, ntk loss = 0.5080562233924866
mfld loss = 0.4703391194343567, ntk loss = 0.6250919103622437
mfld loss = 0.44345909357070923, ntk loss = 0.5622738003730774
mfld loss = 0.4244152009487152, ntk loss = 0.5490450263023376
mfld loss = 0.4314727783203125, ntk loss = 0.5522685647010803
mfld loss = 0.5674248337745667, ntk loss = 0.6325278282165527
mfld loss = 0.5320184826850891, ntk loss = 0.6000377535820007
mfld loss = 0.489957720041275, ntk loss = 0.6244058012962341
mfld loss = 0.6263924837112427, ntk loss = 0.7291786670684814
mfld loss = 0.5077138543128967, ntk loss = 0.5344911813735962
mfld loss = 0.432687371969223, ntk loss = 0.4413204491138458
mfld loss = 0.4651457965373993, ntk loss = 0.5712764263153076
mfld loss = 0.5094762444496155, ntk loss = 0.6001942157745361
mfld loss = 0.5189685225486755, ntk loss = 0.5293002128601074
mfld loss = 0.6163074970245361, ntk loss = 0.7473596930503845
mfld loss = 0.47751080989837646, ntk loss = 0.4986482858657837
mfld loss = 0.42205169796943665, ntk loss = 0.48506850004196167
mfld loss = 0.5291575789451599, ntk loss = 0.579684853553772
mfld loss = 0.5215412974357605, ntk loss = 0.6568249464035034
mfld loss = 0.3452478349208832, ntk loss = 0.3907235562801361
mfld loss = 0.765660285949707, ntk loss = 0.8957449793815613
mfld loss = 0.5779783725738525, ntk loss = 0.6570979952812195
mfld loss = 0.5153290629386902, ntk loss = 0.5310261249542236
mfld loss = 0.6316527128219604, ntk loss = 0.7972370982170105
mfld loss = 0.5798158645629883, ntk loss = 0.7754974365234375
mfld loss = 0.5509328246116638, ntk loss = 0.6905055046081543
mfld loss = 0.5903087258338928, ntk loss = 0.7912700772285461
mfld loss = 0.5585798025131226, ntk loss = 0.6883482336997986
mfld loss = 0.6509219408035278, ntk loss = 0.795863926410675
mfld loss = 0.4517173171043396, ntk loss = 0.6088594198226929
mfld loss = 0.4666735827922821, ntk loss = 0.6743677854537964
mfld loss = 0.4370631277561188, ntk loss = 0.712268054485321
mfld loss = 0.428923636674881, ntk loss = 0.7952117919921875
mfld loss = 0.3506990671157837, ntk loss = 0.5741705894470215
mfld loss = 0.5585917234420776, ntk loss = 0.8248013257980347
mfld loss = 0.656773030757904, ntk loss = 0.8955910205841064
mfld loss = 0.4546743631362915, ntk loss = 0.7374055981636047
mfld loss = 0.4551675319671631, ntk loss = 0.8824125528335571
mfld loss = 0.4873265027999878, ntk loss = 0.7692438364028931
mfld loss = 0.5063761472702026, ntk loss = 0.7642953395843506
mfld loss = 0.5496851801872253, ntk loss = 0.9223377704620361
mfld loss = 0.6074579358100891, ntk loss = 0.8863215446472168
mfld loss = 0.5080773234367371, ntk loss = 0.8973986506462097
mfld loss = 0.6175861358642578, ntk loss = 0.9377064108848572
mfld loss = 0.59505695104599, ntk loss = 0.8862400650978088
mfld loss = 0.5577349066734314, ntk loss = 0.9996731281280518
mfld loss = 0.6000692844390869, ntk loss = 0.8608251810073853
mfld loss = 0.36441877484321594, ntk loss = 0.9193881750106812
mfld loss = 0.5966626405715942, ntk loss = 0.9353741407394409
mfld loss = 0.4452424645423889, ntk loss = 0.8967143297195435
mfld loss = 0.5162919759750366, ntk loss = 1.0448414087295532
mfld loss = 0.5170873999595642, ntk loss = 0.8843397498130798
mfld loss = 0.5044952630996704, ntk loss = 1.0441782474517822
mfld loss = 0.5153752565383911, ntk loss = 0.969447672367096
mfld loss = 0.4630117416381836, ntk loss = 0.9448374509811401
mfld loss = 0.654806911945343, ntk loss = 1.0382444858551025
mfld loss = 0.5355289578437805, ntk loss = 1.1434184312820435
mfld loss = 0.4111247956752777, ntk loss = 1.1204386949539185
mfld loss = 0.47148600220680237, ntk loss = 1.0690025091171265
mfld loss = 0.5412101149559021, ntk loss = 1.009265422821045
mfld loss = 0.5425707697868347, ntk loss = 1.142899513244629
mfld loss = 0.6361199617385864, ntk loss = 0.9959918260574341
mfld loss = 0.4625933766365051, ntk loss = 1.1477693319320679
