mfld loss = 0.7680392861366272, ntk loss = 0.983073890209198
mfld loss = 0.7418040037155151, ntk loss = 0.9841397404670715
mfld loss = 0.7409989237785339, ntk loss = 0.9807696342468262
mfld loss = 0.7695252895355225, ntk loss = 0.9854695200920105
mfld loss = 0.7660124897956848, ntk loss = 0.9870138168334961
mfld loss = 0.8177767992019653, ntk loss = 0.9908775091171265
mfld loss = 0.7627226710319519, ntk loss = 0.9862110018730164
mfld loss = 0.7478456497192383, ntk loss = 0.9872459769248962
mfld loss = 0.7643678188323975, ntk loss = 0.9845099449157715
mfld loss = 0.7422751188278198, ntk loss = 0.9818142652511597
mfld loss = 0.7918289303779602, ntk loss = 0.9869675040245056
mfld loss = 0.771930456161499, ntk loss = 0.9864559769630432
mfld loss = 0.683055579662323, ntk loss = 0.9828312993049622
mfld loss = 0.7864949107170105, ntk loss = 0.9867148995399475
mfld loss = 0.7310320138931274, ntk loss = 0.9842917919158936
mfld loss = 0.7789367437362671, ntk loss = 0.9870997667312622
mfld loss = 0.7080535888671875, ntk loss = 0.9802470803260803
mfld loss = 0.7897459864616394, ntk loss = 0.9865555167198181
mfld loss = 0.7258230447769165, ntk loss = 0.9844062328338623
mfld loss = 0.7259467840194702, ntk loss = 0.9808964133262634
mfld loss = 0.6505115628242493, ntk loss = 0.9803184270858765
mfld loss = 0.6916344165802002, ntk loss = 0.9800278544425964
mfld loss = 0.7445316910743713, ntk loss = 0.9857960343360901
mfld loss = 0.7727138996124268, ntk loss = 0.9882535934448242
mfld loss = 0.7209020853042603, ntk loss = 0.9827044606208801
mfld loss = 0.741980791091919, ntk loss = 0.9823060631752014
mfld loss = 0.7141494750976562, ntk loss = 0.9824277758598328
mfld loss = 0.6712621450424194, ntk loss = 0.9813840985298157
mfld loss = 0.6982616782188416, ntk loss = 0.9838206171989441
mfld loss = 0.7207751274108887, ntk loss = 0.9843505024909973
mfld loss = 0.7760282754898071, ntk loss = 0.9860664010047913
mfld loss = 0.7303439378738403, ntk loss = 0.985650897026062
mfld loss = 0.7605276107788086, ntk loss = 0.9875684380531311
mfld loss = 0.7127010226249695, ntk loss = 0.9847182035446167
mfld loss = 0.7219170928001404, ntk loss = 0.985396683216095
mfld loss = 0.6828030943870544, ntk loss = 0.9810990691184998
mfld loss = 0.712317168712616, ntk loss = 0.9855424165725708
mfld loss = 0.7046826481819153, ntk loss = 0.9858916997909546
mfld loss = 0.6696571111679077, ntk loss = 0.9779751300811768
mfld loss = 0.7186241149902344, ntk loss = 0.9864524602890015
